time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,station,latitude,longitude,elevation
2024-01-01,28.1,24.5,32.8,1.6,,74.0,25.6,,1013.1,,80403,11.4167,-69.6833,16.0
2024-01-01,27.8,24.6,32.6,0.0,,81.0,22.7,,1013.4,,80404,11.77,-70.14,23.0
2024-01-01,27.7,25.6,30.6,0.8,,32.0,14.6,,1013.7,,80407,10.5667,-71.7333,66.0
2024-01-01,25.7,22.0,31.5,0.0,,12.0,13.2,,1014.4,,80410,10.0667,-69.3167,613.0
2024-01-01,24.9,20.9,30.1,0.0,,354.0,11.1,,1014.8,,80413,10.25,-67.65,436.0
2024-01-01,23.6,19.9,29.6,0.1,,108.0,10.2,,1014.1,,80414,10.29,-66.81,654.0
2024-01-01,26.4,24.4,29.0,0.4,,92.0,5.7,,1014.5,,80415,10.6,-66.9833,43.0
2024-01-01,,,,0.9,,,,,,,80416,10.5,-66.8833,835.0
2024-01-01,27.8,21.0,33.0,0.9,,33.0,24.5,,1013.1,,80419,10.1167,-64.6833,7.0
2024-01-01,26.3,23.9,29.7,0.1,,53.0,13.7,,1014.2,,80421,10.9167,-63.9667,24.0
2024-01-01,24.4,20.9,29.3,0.4,,85.0,6.0,,1013.7,,80426,9.35,-70.6167,582.0
2024-01-01,29.0,23.0,35.2,0.0,,33.0,10.0,,1011.2,,80428,9.0167,-69.7333,163.0
2024-01-01,27.7,22.5,35.0,0.0,,22.0,13.1,,1012.6,,80431,9.9167,-67.3333,429.0
2024-01-01,26.2,23.3,30.9,0.9,,50.0,14.2,,1013.2,,80435,9.75,-63.1833,65.0
2024-01-01,19.8,14.3,28.0,6.3,,4.0,8.4,,,,80438,8.6,-71.1833,1479.0
2024-01-01,27.4,24.0,33.5,0.0,,20.0,8.7,,1011.3,,80440,8.6167,-70.2167,203.0
2024-01-01,29.7,26.4,34.0,0.2,,63.0,18.2,,1011.9,,80444,8.15,-63.55,43.0
2024-01-01,24.7,23.1,28.4,16.5,,188.0,6.7,,1013.2,,80445,8.25,-72.27,98.0
2024-01-01,23.9,22.5,27.3,15.1,,324.0,6.1,,1015.1,,80447,7.85,-72.45,377.0
2024-01-01,28.5,24.0,33.6,0.0,,358.0,8.7,,1011.0,,80448,7.2333,-70.8,130.0
2024-01-01,31.3,26.4,35.9,0.0,,51.0,16.0,,1010.8,,80450,7.9,-67.4167,47.0
2024-01-01,27.6,23.2,32.8,0.2,,39.0,9.7,,1010.2,,80457,5.6,-67.5,73.0
2024-01-01,27.6,24.6,34.0,0.0,,40.0,10.7,,1012.9,,80472,10.1667,-67.9333,430.0
2024-01-01,26.6,23.9,29.5,2.8,,57.0,11.2,,1013.3,,81001,6.8,-58.15,1.0
2024-01-01,26.3,23.0,31.6,2.8,,58.0,10.4,37.0,1012.5,,81002,6.5,-58.25,28.0
2024-01-01,23.5,20.7,27.9,1.6,,36.0,9.6,,1014.1,,81005,5.8833,-60.5,494.0
2024-01-01,29.6,24.7,36.0,0.0,,69.0,19.2,,1010.9,,81006,3.3667,-59.8,82.0
2024-01-01,26.7,24.7,28.5,3.1,,64.0,23.4,,1012.4,,81058,6.25,-57.25,1.0
2024-01-01,26.2,23.3,30.1,2.4,,71.0,12.3,,1012.8,,81100,8.2,-59.7833,50.0
2024-01-01,26.7,22.6,33.0,0.0,,76.0,15.0,,1012.2,,81200,5.8167,-55.1833,7.0
2024-01-01,26.8,24.8,30.2,1.6,,60.0,19.7,,1012.3,,81202,5.95,-57.0333,2.0
2024-01-01,29.7,21.6,32.9,0.0,,67.0,9.9,,1012.0,,81225,5.45,-55.2,15.0
2024-01-01,26.4,22.2,32.2,0.0,,70.0,11.9,,1012.2,,81401,5.5,-54.0333,4.0
2024-01-01,26.6,22.5,31.1,0.3,,35.0,8.8,38.9,1012.1,,81405,4.8333,-52.3667,105.0
2024-01-01,26.1,22.1,32.0,0.2,,22.0,9.7,42.6,1012.2,,81408,3.8833,-51.8,6.0
2024-01-01,25.8,20.1,32.3,0.0,,49.0,10.1,,1012.0,,81415,3.6333,-54.0333,105.0
2024-01-01,26.2,21.6,32.0,0.0,,76.0,3.7,,1012.4,,81609,3.8136,-51.8625,19.0
2024-01-01,30.2,25.5,36.2,0.0,,52.0,12.1,,1011.0,,81615,2.8047,-60.6467,94.0
2024-01-01,28.2,25.0,33.5,1.3,,114.0,2.6,,1009.9,,81648,-0.9878,-62.9242,17.0
2024-01-01,26.6,23.5,28.2,3.5,,53.0,9.4,,1013.8,,81660,-0.6186,-47.3511,21.0
2024-01-01,26.7,24.6,29.5,4.5,,264.0,2.4,,1011.8,,81680,-1.4103,-48.4383,24.0
2024-01-01,27.0,24.7,29.7,6.4,,359.0,0.3,,1012.0,,81682,-1.3008,-47.9475,65.0
2024-01-01,27.1,23.7,31.5,1.1,,57.0,4.7,,1009.6,,81685,-1.0453,-46.7828,33.0
2024-01-01,25.9,24.0,30.7,17.8,,88.0,6.8,,1010.9,,81687,-1.6617,-45.3728,41.0
2024-01-01,27.2,23.5,31.2,1.0,,102.0,6.9,,1010.5,,81699,-2.0564,-60.0256,92.0
2024-01-01,25.7,21.2,32.1,2.8,,24.0,0.8,,1017.7,,81700,-2.4317,-59.5636,59.0
2024-01-01,25.1,22.7,28.0,0.2,,340.0,0.8,,1010.6,,81702,-2.5347,-57.7583,17.0
2024-01-01,27.4,25.0,31.7,2.8,,244.0,4.1,,1010.2,,81703,-2.6389,-56.7561,35.0
2024-01-01,25.2,23.7,29.1,18.9,,33.0,2.9,,1012.2,,81711,-2.5922,-48.3608,38.0
2024-01-01,25.5,24.5,27.1,20.8,,265.0,4.2,,1012.6,,81715,-2.5269,-44.2131,56.0
2024-01-01,26.2,23.3,28.9,30.4,,76.0,9.8,,1012.1,,81717,-2.5925,-42.7072,0.0
2024-01-01,28.0,25.1,32.6,5.1,,127.0,3.9,,1010.3,,81729,-3.2944,-60.6283,19.0
2024-01-01,28.4,25.0,33.0,2.1,,99.0,3.7,,1011.5,,81730,-3.1292,-59.9483,67.0
2024-01-01,28.6,24.7,34.2,5.9,,113.0,5.4,,1010.3,,81732,-3.5831,-59.1294,28.0
2024-01-01,27.1,24.8,30.2,3.1,,3.0,0.9,,1010.7,,81734,-3.3989,-57.6736,35.0
2024-01-01,28.1,24.2,33.7,1.7,,31.0,3.6,,1009.9,,81737,-3.8639,-54.2164,96.0
2024-01-01,25.8,22.1,31.5,6.8,,60.0,7.3,,1010.9,,81745,-3.0103,-47.3431,101.0
2024-01-01,26.2,23.0,31.5,8.5,,48.0,5.4,,1012.2,,81749,-3.7428,-43.3519,91.0
